HVsupply,HVmes,Isupply,Imeas,Gain
0,9.67742e-05,0,1.86104e-08,6.33109e-08,200
0.000990099,9.67742e-05,1.90404e-07,1.86104e-08,1.90188e-07,200
0.0019802,9.67742e-05,3.80807e-07,1.86104e-08,2.3248e-07,200
0.0029703,9.67742e-05,5.71211e-07,1.86104e-08,3.59357e-07,200
0.0039604,9.67742e-05,7.61615e-07,1.86104e-08,-1.96672e-06,200
0.0049505,9.67742e-05,9.52018e-07,1.86104e-08,1.05603e-07,200
0.00594059,9.67742e-05,1.14242e-06,1.86104e-08,1.05603e-07,200
0.00693069,9.67742e-05,1.33283e-06,1.86104e-08,2.3248e-07,200
0.00792079,9.67742e-05,1.52323e-06,1.86104e-08,6.33109e-08,200
0.00891089,9.67742e-05,1.71363e-06,1.86104e-08,2.3248e-07,200
0.00990099,9.67742e-05,1.90404e-06,1.55087e-08,1.05603e-07,200
0.0108911,9.67742e-05,2.09444e-06,1.86104e-08,3.59357e-07,200
0.0118812,9.67742e-05,2.28484e-06,1.86104e-08,1.90188e-07,200
0.0128713,9.67742e-05,2.47525e-06,1.86104e-08,1.05603e-07,200
0.0138614,9.67742e-05,2.66565e-06,1.86104e-08,1.05603e-07,200
0.0148515,9.67742e-05,2.85605e-06,1.86104e-08,1.90188e-07,200
0.0158416,9.67742e-05,3.04646e-06,1.86104e-08,2.74772e-07,200
0.0168317,0.000193548,3.23686e-06,3.72208e-08,6.33109e-08,100
0.0178218,0.000193548,3.42727e-06,3.72208e-08,1.47895e-07,100
0.0188119,0.000193548,3.61767e-06,3.72208e-08,6.33109e-08,100
0.019802,0.000193548,3.80807e-06,3.72208e-08,2.74772e-07,100
0.0207921,0.000193548,3.99848e-06,3.72208e-08,6.33109e-08,100
0.0217822,0.000193548,4.18888e-06,3.72208e-08,6.33109e-08,100
0.0227723,0.000193548,4.37928e-06,3.72208e-08,2.10186e-08,100
0.0237624,0.000193548,4.56969e-06,3.72208e-08,3.17064e-07,100
0.0247525,0.000193548,4.76009e-06,3.72208e-08,3.17064e-07,100
0.0257426,0.000193548,4.9505e-06,3.72208e-08,1.05603e-07,100
0.0267327,0.000193548,5.1409e-06,3.72208e-08,2.74772e-07,100
0.0277228,0.000193548,5.3313e-06,3.72208e-08,2.10186e-08,100
0.0287129,0.000193548,5.52171e-06,3.72208e-08,6.33109e-08,100
0.029703,0.000193548,5.71211e-06,3.72208e-08,1.05603e-07,100
0.0306931,0.000193548,5.90251e-06,3.72208e-08,2.74772e-07,100
0.0316832,0.000193548,6.09292e-06,3.72208e-08,1.47895e-07,100
0.0326733,0.000193548,6.28332e-06,3.72208e-08,3.59357e-07,100
0.0336634,0.000387097,6.47372e-06,7.44417e-08,1.90188e-07,50
0.0346535,0.000387097,6.66413e-06,7.44417e-08,-2.75027e-07,50
