AMAC,Channel,BandgapControl,RampGain,m,b
AMAC_B01,CH0_L,0,0,0.0018962977471498163,-0.03485358735090207
AMAC_B01,CH0_L,0,1,0.0008810336274195185,-0.03423158827745353
AMAC_B01,CH0_L,0,2,0.0014870254714248003,-0.03417891680837197
AMAC_B01,CH0_L,0,3,0.001561429145590129,-0.03477515343037792
AMAC_B01,CH0_L,1,0,0.0018722462178365215,-0.03502129150476754
AMAC_B01,CH0_L,1,1,0.0008717732935145463,-0.03357381654121824
AMAC_B01,CH0_L,1,2,0.001469207919039299,-0.03403663827957506
AMAC_B01,CH0_L,1,3,0.0015413544736933645,-0.03415845626630136
AMAC_B01,CH0_L,2,0,0.001847031480821143,-0.03454901806988726
AMAC_B01,CH0_L,2,1,0.0008626335940602787,-0.033348039284820885
AMAC_B01,CH0_L,2,2,0.001451033893094033,-0.03391879776101518
AMAC_B01,CH0_L,2,3,0.0015216993097744492,-0.033815227070696084
AMAC_B01,CH0_L,3,0,0.001822214110534025,-0.0344838612267139
AMAC_B01,CH0_L,3,1,0.0008511760294838264,-0.03263086935373034
AMAC_B01,CH0_L,3,2,0.001431680989027051,-0.03341963433889687
AMAC_B01,CH0_L,3,3,0.0015025324591201954,-0.03367362898735315
AMAC_B01,CH0_L,4,0,0.0017963810485279001,-0.0337298744970992
AMAC_B01,CH0_L,4,1,0.0008406735902614836,-0.03245365356506244
AMAC_B01,CH0_L,4,2,0.0014122822030399255,-0.03288140007256702
AMAC_B01,CH0_L,4,3,0.0014821769464877085,-0.033460916195376056
AMAC_B01,CH0_L,5,0,0.0017697755723173904,-0.033047266760598465
AMAC_B01,CH0_L,5,1,0.0008277713053334118,-0.03160347697205359
AMAC_B01,CH0_L,5,2,0.0013920830273082734,-0.032554243161747196
AMAC_B01,CH0_L,5,3,0.0014600772214881871,-0.032748249429053994
AMAC_B01,CH0_L,6,0,0.0017408065869825233,-0.03289619202940864
AMAC_B01,CH0_L,6,1,0.000814332641499644,-0.030753089794824228
AMAC_B01,CH0_L,6,2,0.0013697984918077573,-0.0315996420397552
AMAC_B01,CH0_L,6,3,0.0014366597037862357,-0.03196777531917014
AMAC_B01,CH0_L,7,0,0.0017060845729312997,-0.03183273288701982
AMAC_B01,CH0_L,7,1,0.0008007205877291387,-0.029976415970954608
AMAC_B01,CH0_L,7,2,0.0013471408054870023,-0.031010114399058476
AMAC_B01,CH0_L,7,3,0.001412708806361549,-0.031176122898058843
AMAC_B01,CH0_L,8,0,0.0016694193244107126,-0.031125077827232905
AMAC_B01,CH0_L,8,1,0.0007855754089002138,-0.028880836991041756
AMAC_B01,CH0_L,8,2,0.0013202968486523362,-0.030282663889683686
AMAC_B01,CH0_L,8,3,0.0013833493678638753,-0.0302672534083785
AMAC_B01,CH0_L,9,0,0.0016294515867899667,-0.029996987390670516
AMAC_B01,CH0_L,9,1,0.0007711421446575504,-0.028402705826819575
AMAC_B01,CH0_L,9,2,0.0012903997401047796,-0.029377566011299917
AMAC_B01,CH0_L,9,3,0.0013518322728847676,-0.02947639846112073
AMAC_B01,CH0_L,10,0,0.0015901946842084998,-0.029271732958279274
AMAC_B01,CH0_L,10,1,0.0007539027855111841,-0.02774116465468141
AMAC_B01,CH0_L,10,2,0.0012585499592204586,-0.028590310030001915
AMAC_B01,CH0_L,10,3,0.0013183722239780444,-0.028725716919915368
AMAC_B01,CH0_L,11,0,0.001550742764730561,-0.028403594800684877
AMAC_B01,CH0_L,11,1,0.0007354649600538952,-0.02691727267426745
AMAC_B01,CH0_L,11,2,0.0012273779647301853,-0.027511688721055045
AMAC_B01,CH0_L,11,3,0.0012860385414226762,-0.027850623640359597
AMAC_B01,CH0_L,12,0,0.0015121633498210243,-0.02762732166662652
AMAC_B01,CH0_L,12,1,0.0007161408009604809,-0.02597470181734624
AMAC_B01,CH0_L,12,2,0.0011968692616931287,-0.026788077639139467
AMAC_B01,CH0_L,12,3,0.0012540883613730534,-0.0270471827921257
AMAC_B01,CH0_L,13,0,0.0014742066336310175,-0.02681493070339767
AMAC_B01,CH0_L,13,1,0.0006980213044663017,-0.02506280640217482
AMAC_B01,CH0_L,13,2,0.001166840365586374,-0.025956568867218928
AMAC_B01,CH0_L,13,3,0.0012223115091818013,-0.026160965550946623
AMAC_B01,CH0_L,14,0,0.00143756451392373,-0.025887800116390854
AMAC_B01,CH0_L,14,1,0.0006802298169440782,-0.02392117492419755
AMAC_B01,CH0_L,14,2,0.00113763768538652,-0.025064914396693762
AMAC_B01,CH0_L,14,3,0.0011915673154949842,-0.025131366964574874
AMAC_B01,CH0_L,15,0,0.0013986141978620144,-0.024820130339161216
AMAC_B01,CH0_L,15,1,0.0006625699424290106,-0.023288280998048975
AMAC_B01,CH0_L,15,2,0.0011073323415336325,-0.02445088461782636
AMAC_B01,CH0_L,15,3,0.0011602300440683364,-0.024507681122925964
AMAC_B01,CH0_R,0,0,0.0018725002679025051,-0.03399107514938652
AMAC_B01,CH0_R,0,1,0.0008690388726924627,-0.03202942616679266
AMAC_B01,CH0_R,0,2,0.0014643033304283031,-0.03279725275262004
AMAC_B01,CH0_R,0,3,0.0015416304817018854,-0.03432709069560571
AMAC_B01,CH0_R,1,0,0.0018484938478842445,-0.03409641980015887
AMAC_B01,CH0_R,1,1,0.0008607257139738909,-0.03224853740520242
AMAC_B01,CH0_R,1,2,0.001443531637675475,-0.03173194243517181
AMAC_B01,CH0_R,1,3,0.0015185299586923245,-0.0328198260381475
AMAC_B01,CH0_R,2,0,0.0018258761100351283,-0.03350975072342541
AMAC_B01,CH0_R,2,1,0.0008499557088135744,-0.032812576912384275
AMAC_B01,CH0_R,2,2,0.001428238382906727,-0.03210581143384749
AMAC_B01,CH0_R,2,3,0.0015019581551574657,-0.03291577819026163
AMAC_B01,CH0_R,3,0,0.0017999527788071913,-0.03308947199654644
AMAC_B01,CH0_R,3,1,0.0008417542781102226,-0.03464246359228352
AMAC_B01,CH0_R,3,2,0.001410458271070332,-0.03327141667378868
AMAC_B01,CH0_R,3,3,0.0014830213223113713,-0.033509940764334535
AMAC_B01,CH0_R,4,0,0.0017781251400167447,-0.03477418422778995
AMAC_B01,CH0_R,4,1,0.0008295948441039063,-0.03524551694293962
AMAC_B01,CH0_R,4,2,0.0013939308836463465,-0.034796120799363166
AMAC_B01,CH0_R,4,3,0.0014632203846810016,-0.03423583297373938
AMAC_B01,CH0_R,5,0,0.0017514296782094258,-0.034910007813300545
AMAC_B01,CH0_R,5,1,0.0008158366597511602,-0.03146377612038111
AMAC_B01,CH0_R,5,2,0.001372114081019927,-0.03498732634285915
AMAC_B01,CH0_R,5,3,0.0014429941366938548,-0.03548956388643086
AMAC_B01,CH0_R,6,0,0.0017235428177991606,-0.03543275103129391
AMAC_B01,CH0_R,6,1,0.0007992805272328312,-0.02880608250695404
AMAC_B01,CH0_R,6,2,0.001348936112890299,-0.032385775668009396
AMAC_B01,CH0_R,6,3,0.0014175993410527488,-0.03315935567377096
AMAC_B01,CH0_R,7,0,0.001684323278831412,-0.0315283760577938
AMAC_B01,CH0_R,7,1,0.0007858490368602476,-0.026911199455943908
AMAC_B01,CH0_R,7,2,0.0013252808033130169,-0.030463696593942526
AMAC_B01,CH0_R,7,3,0.0013938892398803087,-0.03178927935195306
AMAC_B01,CH0_R,8,0,0.001644834449319918,-0.02900027562028517
AMAC_B01,CH0_R,8,1,0.000771497139448524,-0.02621144181829212
