AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_K04,LEFT,0,0,0,4.1744662639912877e-08,-3.430390294356319e-06,-0.10695167745759945,297.2899252924469
AMAC_K04,LEFT,0,0,1,1.208647166544675e-07,-1.0252539583203843e-05,-0.11158240689011018,997.5175884895208
AMAC_K04,LEFT,0,0,2,9.59860609091003e-07,-8.237637859500697e-05,-0.11242667300267509,47.48930131958862
AMAC_K04,LEFT,0,0,3,1.049665394092897e-06,-8.99818680869942e-05,-0.11671109339090795,53.437556005922076
AMAC_K04,LEFT,0,0,4,4.493195233604126e-06,-0.0003845483709191314,-0.11794496162060077,61.135463068410836
AMAC_K04,LEFT,0,0,5,4.580836736172345e-06,-0.00039206348089211097,-0.1179800323019278,61.43468119568689
AMAC_K04,LEFT,0,0,6,5.402508628757129e-06,-0.0004627410512038141,-0.1182879827483534,61.85280772361828
AMAC_K04,LEFT,0,0,7,5.489917869557291e-06,-0.0004702604259010489,-0.11851481685558503,62.210057575408875
AMAC_K04,LEFT,0,0,8,9.842942244862009e-06,-0.0008440787920041043,-0.12121717809664997,61.44731462036689
AMAC_K04,LEFT,0,0,9,9.869846604246952e-06,-0.0008461636057276578,-0.12073990317908193,62.86567955495799
AMAC_K04,LEFT,0,0,10,1.073526531861407e-05,-0.0009208196251603433,-0.12249868262895837,62.95859747055947
AMAC_K04,LEFT,0,0,11,1.0837040145415785e-05,-0.0009297013055503089,-0.12162824597673426,62.55068047296051
AMAC_K04,LEFT,0,0,12,1.4321430460710914e-05,-0.0012285748894917139,-0.12533234657255746,64.1807661862818
AMAC_K04,LEFT,0,0,13,1.4427490701749395e-05,-0.0012381840678282704,-0.12448406337478238,63.55132859849549
AMAC_K04,LEFT,0,0,14,1.5237375786746903e-05,-0.0013077826454418286,-0.12483234007814027,63.71023700795255
AMAC_K04,LEFT,0,0,15,1.5288090889406526e-05,-0.0013118079335619067,-0.12282832737897878,63.26376025897068
AMAC_K04,LEFT,0,1,0,1.7157290826243836e-08,-3.0348614462483002e-05,27.564843595901596,12213.60511823778
AMAC_K04,LEFT,0,1,1,5.3299410090831265e-08,-9.997364138718657e-06,-0.11448772629206731,956.9161728471931
AMAC_K04,LEFT,0,1,2,1.0655902710453832e-07,-1.9002573624878478e-05,-0.16576794443403114,29219.267572798726
AMAC_K04,LEFT,0,1,3,1.2989076640982472e-07,-2.3403739749334172e-05,-0.16517994932833854,25208.07235508521
AMAC_K04,LEFT,0,1,4,1.925117395795112e-06,-0.000367183172926296,-0.10939200415498358,102.2270417394078
