AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_L01,LEFT,0,0,0,4.22922647206046e-08,-3.2777780044462174e-06,-0.11232644936423523,122.73928405467817
AMAC_L01,LEFT,0,0,1,1.258262088011189e-07,-9.936235682230301e-06,-0.11740040780330681,467.03884386295033
AMAC_L01,LEFT,0,0,2,9.547976566969367e-07,-7.610254309198216e-05,-0.11533187909634024,88.36361161196423
AMAC_L01,LEFT,0,0,3,1.0475507913491822e-06,-8.340890766167507e-05,-0.11810531134430464,51.227125261854724
AMAC_L01,LEFT,0,0,4,4.500294285482953e-06,-0.0003580143016544572,-0.12275229159432217,61.72371435680681
AMAC_L01,LEFT,0,0,5,4.589791870251044e-06,-0.00036517026533377215,-0.1232131266426407,62.025267698332726
AMAC_L01,LEFT,0,0,6,5.408490916174402e-06,-0.0004304755475967277,-0.12310011039950942,62.72020406271617
AMAC_L01,LEFT,0,0,7,5.5003810119471266e-06,-0.00043774559733766974,-0.12328445235689098,62.92395973581462
AMAC_L01,LEFT,0,0,8,9.960520513304884e-06,-0.0007939496398755402,-0.1222249081246435,60.54132121493637
AMAC_L01,LEFT,0,0,9,1.0086061377760877e-05,-0.0008041137369753139,-0.12237487520256723,60.23413622844737
AMAC_L01,LEFT,0,0,10,1.0905477493857604e-05,-0.00086895039925458,-0.12406380697130184,61.37647228186479
AMAC_L01,LEFT,0,0,11,1.103109343367915e-05,-0.0008790575959618897,-0.12410120811129169,60.89632328840878
AMAC_L01,LEFT,0,0,12,1.449366847096918e-05,-0.0011556715443422061,-0.12453160091278087,61.543743733212054
AMAC_L01,LEFT,0,0,13,1.4599281911169293e-05,-0.0011636033820621636,-0.12537139386452184,61.59595264100465
AMAC_L01,LEFT,0,0,14,1.5402898776119074e-05,-0.001227551273471814,-0.12701687762433145,63.26463596895904
AMAC_L01,LEFT,0,0,15,1.5529530375768464e-05,-0.0012381025056609517,-0.12758316366510297,63.149242015071316
AMAC_L01,LEFT,0,1,0,1.8984096083232515e-08,-2.8488780749666503e-06,-0.21398615457645087,8850.582002203524
AMAC_L01,LEFT,0,1,1,5.809124122375298e-08,-9.605790292014363e-06,-0.10644572605956426,0.009298054981157433
AMAC_L01,LEFT,0,1,2,4.2872258068052065e-07,-7.168778870045229e-05,-0.11509499107731032,313.9184417426657
AMAC_L01,LEFT,0,1,3,4.283953853150183e-07,-7.139116493453277e-05,-0.11794351397796671,1284.1552214611243
AMAC_L01,LEFT,0,1,4,2.059267250943875e-06,-0.00034375448140149564,-0.11182257477192761,54.25972961112562
AMAC_L01,LEFT,0,1,5,2.103511625945959e-06,-0.00035126495310006925,-0.11255700558386206,54.17538112968137
AMAC_L01,LEFT,0,1,6,2.482692465768932e-06,-0.0004143413209384359,-0.11689072531932437,59.64719154777828
AMAC_L01,LEFT,0,1,7,2.5221475921109925e-06,-0.00042091127385836204,-0.11633197879294664,58.851416215662056
AMAC_L01,LEFT,0,1,8,4.548258419074841e-06,-0.0007585655320703029,-0.12104091576448002,61.42498953747636
AMAC_L01,LEFT,0,1,9,4.577437134713026e-06,-0.000763334118542402,-0.12145088187550705,62.25645408928573
AMAC_L01,LEFT,0,1,10,4.952237321132933e-06,-0.0008256537273091648,-0.12171749340968244,62.81489981584553
AMAC_L01,LEFT,0,1,11,5.003519791783907e-06,-0.0008344982216019523,-0.12219904341608863,62.88454429369068
AMAC_L01,LEFT,0,1,12,6.576647936927761e-06,-0.0010968985139195716,-0.12444087925395282,64.59764639246045
AMAC_L01,LEFT,0,1,13,6.592454897385556e-06,-0.0010993194612763007,-0.12384047162704934,65.13602016543061
AMAC_L01,LEFT,0,1,14,6.950243862118505e-06,-0.001158999258956227,-0.1249502541775048,66.38285589830129
AMAC_L01,LEFT,0,1,15,7.024392464653677e-06,-0.001171267189409931,-0.12454512083267767,65.20792050697241
AMAC_L01,LEFT,0,2,0,3.2421429984561886e-08,-3.0821002973063856e-06,-0.10765878940283902,200.00029963388963
AMAC_L01,LEFT,0,2,1,9.911948208532509e-08,-9.841569159430233e-06,-0.12964520777609131,1401.602377303274
AMAC_L01,LEFT,0,2,2,7.483433332571416e-07,-7.508354631448439e-05,-0.11563655754065681,91.10457750356441
AMAC_L01,LEFT,0,2,3,8.213400726472935e-07,-8.234798331949984e-05,-0.11569559392766521,49.159590839568466
AMAC_L01,LEFT,0,2,4,3.52442311988232e-06,-0.00035299158777871696,-0.12217922737411926,62.398008741387216
AMAC_L01,LEFT,0,2,5,3.592583880994119e-06,-0.00035968982622811235,-0.12220661415652319,62.54922205173204
AMAC_L01,LEFT,0,2,6,4.227759662411059e-06,-0.0004229662914421236,-0.12268199815329378,63.7538762352512
AMAC_L01,LEFT,0,2,7,4.309057452876576e-06,-0.0004313999896759174,-0.12293266151733183,63.504011550862046
